Code,D_P,Description
T6103XA,D,"Intoxicación por Ciguatera (pescado), agresión, contacto inicial"
T6103XD,D,"Intoxicación por Ciguatera (pescado), agresión, contacto sucesivo"
T6103XS,D,"Intoxicación por Ciguatera (pescado), agresión, secuela"
T6104,D,"Intoxicación por Ciguatera (pescado), intencionalidad sin determinar"
T6104X,D,"Intoxicación por Ciguatera (pescado), intencionalidad sin determinar"
T6104XA,D,"Intoxicación por Ciguatera (pescado), intencionalidad sin determinar, contacto inicial"
T6104XD,D,"Intoxicación por Ciguatera (pescado), intencionalidad sin determinar, contacto sucesivo"
T6104XS,D,"Intoxicación por Ciguatera (pescado), intencionalidad sin determinar, secuela"
T611,D,Intoxicación por escómbridos (pescado)
T6111,D,"Intoxicación por escómbridos, accidental (no intencionado)"
T6111X,D,"Intoxicación por escómbridos, accidental (no intencionado)"
T6111XA,D,"Intoxicación por escómbridos, accidental (no intencionado), contacto inicial"
T6111XD,D,"Intoxicación por escómbridos, accidental (no intencionado), contacto sucesivo"
T6111XS,D,"Intoxicación por escómbridos, accidental (no intencionado), secuela"
T6112,D,"Intoxicación por escómbridos, autolesión intencionada"
T6112X,D,"Intoxicación por escómbridos, autolesión intencionada"
T6112XA,D,"Intoxicación por escómbridos, autolesión intencionada, contacto inicial"
T6112XD,D,"Intoxicación por escómbridos, autolesión intencionada, contacto sucesivo"
T6112XS,D,"Intoxicación por escómbridos, autolesión intencionada, secuela"
T6113,D,"Intoxicación por escómbridos, agresión"
T6113X,D,"Intoxicación por escómbridos, agresión"
T6113XA,D,"Intoxicación por escómbridos, agresión, contacto inicial"
T6113XD,D,"Intoxicación por escómbridos, agresión, contacto sucesivo"
T6113XS,D,"Intoxicación por escómbridos, agresión, secuela"
T6114,D,"Intoxicación por escómbridos, intencionalidad sin determinar"
T6114X,D,"Intoxicación por escómbridos, intencionalidad sin determinar"
T6114XA,D,"Intoxicación por escómbridos, intencionalidad sin determinar, contacto inicial"
T6114XD,D,"Intoxicación por escómbridos, intencionalidad sin determinar, contacto sucesivo"
T6114XS,D,"Intoxicación por escómbridos, intencionalidad sin determinar, secuela"
T617,D,Otro tipo de intoxicación/envenenamiento por pescados y mariscos
T6177,D,Otro tipo de intoxicación/envenenamiento por pescado
T61771,D,"Otro tipo de intoxicación/envenenamiento por pescado, accidental (no intencionado)"
T61771A,D,"Otro tipo de intoxicación/envenenamiento por pescado, accidental (no intencionado), contacto inicial"
T61771D,D,"Otro tipo de intoxicación/envenenamiento por pescado, accidental (no intencionado), contacto sucesivo"
T61771S,D,"Otro tipo de intoxicación/envenenamiento por pescado, accidental (no intencionado), secuela"
T61772,D,"Otro tipo de intoxicación/envenenamiento por pescado, autolesión intencionada"
T61772A,D,"Otro tipo de intoxicación/envenenamiento por pescado, autolesión intencionada, contacto inicial"
T61772D,D,"Otro tipo de intoxicación/envenenamiento por pescado, autolesión intencionada, contacto sucesivo"
T61772S,D,"Otro tipo de intoxicación/envenenamiento por pescado, autolesión intencionada, secuela"
T61773,D,"Otro tipo de intoxicación/envenenamiento por pescado, agresión"
T61773A,D,"Otro tipo de intoxicación/envenenamiento por pescado, agresión, contacto inicial"
T61773D,D,"Otro tipo de intoxicación/envenenamiento por pescado, agresión, contacto sucesivo"
T61773S,D,"Otro tipo de intoxicación/envenenamiento por pescado, agresión, secuela"
T61774,D,"Otro tipo de intoxicación/envenenamiento por pescado, intencionalidad sin determinar"
T61774A,D,"Otro tipo de intoxicación/envenenamiento por pescado, intencionalidad sin determinar, contacto inicial"
T61774D,D,"Otro tipo de intoxicación/envenenamiento por pescado, intencionalidad sin determinar, contacto sucesivo"
T61774S,D,"Otro tipo de intoxicación/envenenamiento por pescado, intencionalidad sin determinar, secuela"
T6178,D,Otro tipo de intoxicación/envenenamiento por mariscos
T61781,D,"Otro tipo de intoxicación/envenenamiento por mariscos, accidental (no intencionado)"
T61781A,D,"Otro tipo de intoxicación/envenenamiento por mariscos, accidental (no intencionado), contacto inicial"
T61781D,D,"Otro tipo de intoxicación/envenenamiento por mariscos, accidental (no intencionado), contacto sucesivo"
T61781S,D,"Otro tipo de intoxicación/envenenamiento por mariscos, accidental (no intencionado), secuela"
T61782,D,"Otro tipo de intoxicación/envenenamiento por mariscos, autolesión intencionada"
T61782A,D,"Otro tipo de intoxicación/envenenamiento por mariscos, autolesión intencionada, contacto inicial"
T61782D,D,"Otro tipo de intoxicación/envenenamiento por mariscos, autolesión intencionada, contacto sucesivo"
T61782S,D,"Otro tipo de intoxicación/envenenamiento por mariscos, autolesión intencionada, secuela"
T61783,D,"Otro tipo de intoxicación/envenenamiento por mariscos, agresión"
T61783A,D,"Otro tipo de intoxicación/envenenamiento por mariscos, agresión, contacto inicial"
T61783D,D,"Otro tipo de intoxicación/envenenamiento por mariscos, agresión, contacto sucesivo"
T61783S,D,"Otro tipo de intoxicación/envenenamiento por mariscos, agresión, secuela"
T61784,D,"Otro tipo de intoxicación/envenenamiento por mariscos, intencionalidad sin determinar"
T61784A,D,"Otro tipo de intoxicación/envenenamiento por mariscos, intencionalidad sin determinar, contacto inicial"
T61784D,D,"Otro tipo de intoxicación/envenenamiento por mariscos, intencionalidad sin determinar, contacto sucesivo"
T61784S,D,"Otro tipo de intoxicación/envenenamiento por mariscos, intencionalidad sin determinar, secuela"
T618,D,Efecto tóxico de otros mariscos
T618X,D,Efecto tóxico de otros mariscos
T618X1,D,"Efecto tóxico de otros mariscos, accidental (no intencionado)"
T618X1A,D,"Efecto tóxico de otros mariscos, accidental (no intencionado), contacto inicial"
T618X1D,D,"Efecto tóxico de otros mariscos, accidental (no intencionado), contacto sucesivo"
T618X1S,D,"Efecto tóxico de otros mariscos, accidental (no intencionado), secuela"
T618X2,D,"Efecto tóxico de otros mariscos, autolesión intencionada"
T618X2A,D,"Efecto tóxico de otros mariscos, autolesión intencionada, contacto inicial"
T618X2D,D,"Efecto tóxico de otros mariscos, autolesión intencionada, contacto sucesivo"
T618X2S,D,"Efecto tóxico de otros mariscos, autolesión intencionada, secuela"
T618X3,D,"Efecto tóxico de otros mariscos, agresión"
T618X3A,D,"Efecto tóxico de otros mariscos, agresión, contacto inicial"
T618X3D,D,"Efecto tóxico de otros mariscos, agresión, contacto sucesivo"
T618X3S,D,"Efecto tóxico de otros mariscos, agresión, secuela"
T618X4,D,"Efecto tóxico de otros mariscos, intencionalidad sin determinar"
T618X4A,D,"Efecto tóxico de otros mariscos, intencionalidad sin determinar, contacto inicial"
T618X4D,D,"Efecto tóxico de otros mariscos, intencionalidad sin determinar, contacto sucesivo"
T618X4S,D,"Efecto tóxico de otros mariscos, intencionalidad sin determinar, secuela"
T619,D,Efecto tóxico de marisco no especificado
T6191,D,"Efecto tóxico de marisco no especificado, accidental (no intencionado)"
T6191X,D,"Efecto tóxico de marisco no especificado, accidental (no intencionado)"
T6191XA,D,"Efecto tóxico de marisco no especificado, accidental (no intencionado), contacto inicial"
T6191XD,D,"Efecto tóxico de marisco no especificado, accidental (no intencionado), contacto sucesivo"
T6191XS,D,"Efecto tóxico de marisco no especificado, accidental (no intencionado), secuela"
T6192,D,"Efecto tóxico de marisco no especificado, autolesión intencionada"
T6192X,D,"Efecto tóxico de marisco no especificado, autolesión intencionada"
T6192XA,D,"Efecto tóxico de marisco no especificado, autolesión intencionada, contacto inicial"
T6192XD,D,"Efecto tóxico de marisco no especificado, autolesión intencionada, contacto sucesivo"
T6192XS,D,"Efecto tóxico de marisco no especificado, autolesión intencionada, secuela"
T6193,D,"Efecto tóxico de marisco no especificado, agresión"
T6193X,D,"Efecto tóxico de marisco no especificado, agresión"
T6193XA,D,"Efecto tóxico de marisco no especificado, agresión, contacto inicial"
T6193XD,D,"Efecto tóxico de marisco no especificado, agresión, contacto sucesivo"
T6193XS,D,"Efecto tóxico de marisco no especificado, agresión, secuela"
T6194,D,"Efecto tóxico de marisco no especificado, intencionalidad sin determinar"
T6194X,D,"Efecto tóxico de marisco no especificado, intencionalidad sin determinar"
T6194XA,D,"Efecto tóxico de marisco no especificado, intencionalidad sin determinar, contacto inicial"
T6194XD,D,"Efecto tóxico de marisco no especificado, intencionalidad sin determinar, contacto sucesivo"
T6194XS,D,"Efecto tóxico de marisco no especificado, intencionalidad sin determinar, secuela"
T62,D,Efecto tóxico de otras sustancias nocivas ingeridas como alimento
T620,D,Efecto tóxico de setas ingeridas
T620X,D,Efecto tóxico de setas ingeridas
T620X1,D,"Efecto tóxico de setas ingeridas, accidental (no intencionado)"
T620X1A,D,"Efecto tóxico de setas ingeridas, accidental (no intencionado), contacto inicial"
T620X1D,D,"Efecto tóxico de setas ingeridas, accidental (no intencionado), contacto sucesivo"
T620X1S,D,"Efecto tóxico de setas ingeridas, accidental (no intencionado), secuela"
T620X2,D,"Efecto tóxico de setas ingeridas, autolesión intencionada"
T620X2A,D,"Efecto tóxico de setas ingeridas, autolesión intencionada, contacto inicial"
T620X2D,D,"Efecto tóxico de setas ingeridas, autolesión intencionada, contacto sucesivo"
T620X2S,D,"Efecto tóxico de setas ingeridas, autolesión intencionada, secuela"
T620X3,D,"Efecto tóxico de setas ingeridas, agresión"
T620X3A,D,"Efecto tóxico de setas ingeridas, agresión, contacto inicial"
T620X3D,D,"Efecto tóxico de setas ingeridas, agresión, contacto sucesivo"
T620X3S,D,"Efecto tóxico de setas ingeridas, agresión, secuela"
T620X4,D,"Efecto tóxico de setas ingeridas, intencionalidad sin determinar"
T620X4A,D,"Efecto tóxico de setas ingeridas, intencionalidad sin determinar, contacto inicial"
T620X4D,D,"Efecto tóxico de setas ingeridas, intencionalidad sin determinar, contacto sucesivo"
T620X4S,D,"Efecto tóxico de setas ingeridas, intencionalidad sin determinar, secuela"
T621,D,Efecto tóxico de bayas ingeridas
T621X,D,Efecto tóxico de bayas ingeridas
T621X1,D,"Efecto tóxico de bayas ingeridas, accidental (no intencionado)"
T621X1A,D,"Efecto tóxico de bayas ingeridas, accidental (no intencionado), contacto inicial"
T621X1D,D,"Efecto tóxico de bayas ingeridas, accidental (no intencionado), contacto sucesivo"
T621X1S,D,"Efecto tóxico de bayas ingeridas, accidental (no intencionado), secuela"
T621X2,D,"Efecto tóxico de bayas ingeridas, autolesión intencionada"
T621X2A,D,"Efecto tóxico de bayas ingeridas, autolesión intencionada, contacto inicial"
T621X2D,D,"Efecto tóxico de bayas ingeridas, autolesión intencionada, contacto sucesivo"
T621X2S,D,"Efecto tóxico de bayas ingeridas, autolesión intencionada, secuela"
T621X3,D,"Efecto tóxico de bayas ingeridas, agresión"
T621X3A,D,"Efecto tóxico de bayas ingeridas, agresión, contacto inicial"
T621X3D,D,"Efecto tóxico de bayas ingeridas, agresión, contacto sucesivo"
T621X3S,D,"Efecto tóxico de bayas ingeridas, agresión, secuela"
T621X4,D,"Efecto tóxico de bayas ingeridas, intencionalidad sin determinar"
T621X4A,D,"Efecto tóxico de bayas ingeridas, intencionalidad sin determinar, contacto inicial"
T621X4D,D,"Efecto tóxico de bayas ingeridas, intencionalidad sin determinar, contacto sucesivo"
T621X4S,D,"Efecto tóxico de bayas ingeridas, intencionalidad sin determinar, secuela"
T622,D,Efecto tóxico de otra(s) planta(s) (partes) ingerida(s)
T622X,D,Efecto tóxico de otra(s) planta(s) (partes) ingerida(s)
T622X1,D,"Efecto tóxico de otra(s) planta(s) (partes) ingerida(s), accidental (no intencionado)"
T622X1A,D,"Efecto tóxico de otra(s) planta(s) (partes) ingerida(s), accidental (no intencionado), contacto inicial"
T622X1D,D,"Efecto tóxico de otra(s) planta(s) (partes) ingerida(s), accidental (no intencionado), contacto sucesivo"
T622X1S,D,"Efecto tóxico de otra(s) planta(s) (partes) ingerida(s), accidental (no intencionado), secuela"
T622X2,D,"Efecto tóxico de otra(s) planta(s) (partes) ingerida(s), autolesión intencionada"
T622X2A,D,"Efecto tóxico de otra(s) planta(s) (partes) ingerida(s), autolesión intencionada, contacto inicial"
T622X2D,D,"Efecto tóxico de otra(s) planta(s) (partes) ingerida(s), autolesión intencionada, contacto sucesivo"
T622X2S,D,"Efecto tóxico de otra(s) planta(s) (partes) ingerida(s), autolesión intencionada, secuela"
T622X3,D,"Efecto tóxico de otra(s) planta(s) (partes) ingerida(s), agresión"
T622X3A,D,"Efecto tóxico de otra(s) planta(s) (partes) ingerida(s), agresión, contacto inicial"
T622X3D,D,"Efecto tóxico de otra(s) planta(s) (partes) ingerida(s), agresión, contacto sucesivo"
T622X3S,D,"Efecto tóxico de otra(s) planta(s) (partes) ingerida(s), agresión, secuela"
T622X4,D,"Efecto tóxico de otra(s) planta(s) (partes) ingerida(s), intencionalidad sin determinar"
T622X4A,D,"Efecto tóxico de otra(s) planta(s) (partes) ingerida(s), intencionalidad sin determinar, contacto inicial"
T622X4D,D,"Efecto tóxico de otra(s) planta(s) (partes) ingerida(s), intencionalidad sin determinar, contacto sucesivo"
T622X4S,D,"Efecto tóxico de otra(s) planta(s) (partes) ingerida(s), intencionalidad sin determinar, secuela"
T628,D,Efecto tóxico de otras sustancias nocivas especificadas ingeridas como alimento
T628X,D,Efecto tóxico de otras sustancias nocivas especificadas ingeridas como alimento
T628X1,D,"Efecto tóxico de otras sustancias nocivas especificadas ingeridas como alimento, accidental (no intencionado)"
T628X1A,D,"Efecto tóxico de otras sustancias nocivas especificadas ingeridas como alimento, accidental (no intencionado), contacto inicial"
T628X1D,D,"Efecto tóxico de otras sustancias nocivas especificadas ingeridas como alimento, accidental (no intencionado), contacto sucesivo"
T628X1S,D,"Efecto tóxico de otras sustancias nocivas especificadas ingeridas como alimento, accidental (no intencionado), secuela"
T628X2,D,"Efecto tóxico de otras sustancias nocivas especificadas ingeridas como alimento, autolesión intencionada"
T628X2A,D,"Efecto tóxico de otras sustancias nocivas especificadas ingeridas como alimento, autolesión intencionada, contacto inicial"
T628X2D,D,"Efecto tóxico de otras sustancias nocivas especificadas ingeridas como alimento, autolesión intencionada, contacto sucesivo"
T628X2S,D,"Efecto tóxico de otras sustancias nocivas especificadas ingeridas como alimento, autolesión intencionada, secuela"
T628X3,D,"Efecto tóxico de otras sustancias nocivas especificadas ingeridas como alimento, agresión"
T628X3A,D,"Efecto tóxico de otras sustancias nocivas especificadas ingeridas como alimento, agresión, contacto inicial"
T628X3D,D,"Efecto tóxico de otras sustancias nocivas especificadas ingeridas como alimento, agresión, contacto sucesivo"
T628X3S,D,"Efecto tóxico de otras sustancias nocivas especificadas ingeridas como alimento, agresión, secuela"
T628X4,D,"Efecto tóxico de otras sustancias nocivas especificadas ingeridas como alimento, intencionalidad sin determinar"
T628X4A,D,"Efecto tóxico de otras sustancias nocivas especificadas ingeridas como alimento, intencionalidad sin determinar, contacto inicial"
T628X4D,D,"Efecto tóxico de otras sustancias nocivas especificadas ingeridas como alimento, intencionalidad sin determinar, contacto sucesivo"
T628X4S,D,"Efecto tóxico de otras sustancias nocivas especificadas ingeridas como alimento, intencionalidad sin determinar, secuela"
T629,D,Efecto tóxico de sustancia nociva ingerida como alimento no especificada
T6291,D,"Efecto tóxico de sustancias nocivas no especificadas ingeridas como alimento, accidental (no intencionado)"
T6291X,D,"Efecto tóxico de sustancias nocivas no especificadas ingeridas como alimento, accidental (no intencionado)"
T6291XA,D,"Efecto tóxico de sustancias nocivas no especificadas ingeridas como alimento, accidental (no intencionado), contacto inicial"
T6291XD,D,"Efecto tóxico de sustancias nocivas no especificadas ingeridas como alimento, accidental (no intencionado), contacto sucesivo"
T6291XS,D,"Efecto tóxico de sustancias nocivas no especificadas ingeridas como alimento, accidental (no intencionado), secuela"
T6292,D,"Efecto tóxico de sustancias nocivas no especificadas ingeridas como alimento, autolesión intencionada"
T6292X,D,"Efecto tóxico de sustancias nocivas no especificadas ingeridas como alimento, autolesión intencionada"
T6292XA,D,"Efecto tóxico de sustancias nocivas no especificadas ingeridas como alimento, autolesión intencionada, contacto inicial"
T6292XD,D,"Efecto tóxico de sustancias nocivas no especificadas ingeridas como alimento, autolesión intencionada, contacto sucesivo"
T6292XS,D,"Efecto tóxico de sustancias nocivas no especificadas ingeridas como alimento, autolesión intencionada, secuela"
T6293,D,"Efecto tóxico de sustancias nocivas no especificadas ingeridas como alimento, agresión"
T6293X,D,"Efecto tóxico de sustancias nocivas no especificadas ingeridas como alimento, agresión"
T6293XA,D,"Efecto tóxico de sustancias nocivas no especificadas ingeridas como alimento, agresión, contacto inicial"
T6293XD,D,"Efecto tóxico de sustancias nocivas no especificadas ingeridas como alimento, agresión, contacto sucesivo"
T6293XS,D,"Efecto tóxico de sustancias nocivas no especificadas ingeridas como alimento, agresión, secuela"
T6294,D,"Efecto tóxico de sustancias nocivas no especificadas ingeridas como alimento, intencionalidad sin determinar"
T6294X,D,"Efecto tóxico de sustancias nocivas no especificadas ingeridas como alimento, intencionalidad sin determinar"
T6294XA,D,"Efecto tóxico de sustancias nocivas no especificadas ingeridas como alimento, intencionalidad sin determinar, contacto inicial"
T6294XD,D,"Efecto tóxico de sustancias nocivas no especificadas ingeridas como alimento, intencionalidad sin determinar, contacto sucesivo"
T6294XS,D,"Efecto tóxico de sustancias nocivas no especificadas ingeridas como alimento, intencionalidad sin determinar, secuela"
T63,D,Efecto tóxico de contacto con animales y plantas venenosos
T630,D,Efecto tóxico de veneno de serpiente
T6300,D,Efecto tóxico de veneno de serpiente no especificado
T63001,D,"Efecto tóxico de veneno de serpiente no especificada, accidental (no intencionado)"
T63001A,D,"Efecto tóxico de veneno de serpiente no especificada, accidental (no intencionado), contacto inicial"
T63001D,D,"Efecto tóxico de veneno de serpiente no especificada, accidental (no intencionado), contacto sucesivo"
T63001S,D,"Efecto tóxico de veneno de serpiente no especificada, accidental (no intencionado), secuela"
T63002,D,"Efecto tóxico de veneno de serpiente no especificada, autolesión intencionada"
T63002A,D,"Efecto tóxico de veneno de serpiente no especificada, autolesión intencionada, contacto inicial"
T63002D,D,"Efecto tóxico de veneno de serpiente no especificada, autolesión intencionada, contacto sucesivo"
T63002S,D,"Efecto tóxico de veneno de serpiente no especificada, autolesión intencionada, secuela"
T63003,D,"Efecto tóxico de veneno de serpiente no especificada, agresión"
T63003A,D,"Efecto tóxico de veneno de serpiente no especificada, agresión, contacto inicial"
T63003D,D,"Efecto tóxico de veneno de serpiente no especificada, agresión, contacto sucesivo"
T63003S,D,"Efecto tóxico de veneno de serpiente no especificada, agresión, secuela"
T63004,D,"Efecto tóxico de veneno de serpiente no especificada, intencionalidad sin determinar"
T63004A,D,"Efecto tóxico de veneno de serpiente no especificada, intencionalidad sin determinar, contacto inicial"
T63004D,D,"Efecto tóxico de veneno de serpiente no especificada, intencionalidad sin determinar, contacto sucesivo"
T63004S,D,"Efecto tóxico de veneno de serpiente no especificada, intencionalidad sin determinar, secuela"
T6301,D,Efecto tóxico de veneno de serpiente de cascabel
T63011,D,"Efecto tóxico de veneno de serpiente de cascabel, accidental (no intencionado)"
T63011A,D,"Efecto tóxico de veneno de serpiente de cascabel, accidental (no intencionado), contacto inicial"
T63011D,D,"Efecto tóxico de veneno de serpiente de cascabel, accidental (no intencionado), contacto sucesivo"
T63011S,D,"Efecto tóxico de veneno de serpiente de cascabel, accidental (no intencionado), secuela"
T63012,D,"Efecto tóxico de veneno de serpiente de cascabel, autolesión intencionada"
T63012A,D,"Efecto tóxico de veneno de serpiente de cascabel, autolesión intencionada, contacto inicial"
T63012D,D,"Efecto tóxico de veneno de serpiente de cascabel, autolesión intencionada, contacto sucesivo"
T63012S,D,"Efecto tóxico de veneno de serpiente de cascabel, autolesión intencionada, secuela"
T63013,D,"Efecto tóxico de veneno de serpiente de cascabel, agresión"
T63013A,D,"Efecto tóxico de veneno de serpiente de cascabel, agresión, contacto inicial"
T63013D,D,"Efecto tóxico de veneno de serpiente de cascabel, agresión, contacto sucesivo"
T63013S,D,"Efecto tóxico de veneno de serpiente de cascabel, agresión, secuela"
T63014,D,"Efecto tóxico de veneno de serpiente de cascabel, intencionalidad sin determinar"
T63014A,D,"Efecto tóxico de veneno de serpiente de cascabel, intencionalidad sin determinar, contacto inicial"
T63014D,D,"Efecto tóxico de veneno de serpiente de cascabel, intencionalidad sin determinar, contacto sucesivo"
T63014S,D,"Efecto tóxico de veneno de serpiente de cascabel, intencionalidad sin determinar, secuela"
T6302,D,Efecto tóxico de veneno de serpiente coral
T63021,D,"Efecto tóxico de veneno de serpiente coral, accidental (no intencionado)"
T63021A,D,"Efecto tóxico de veneno de serpiente coral, accidental (no intencionado), contacto inicial"
T63021D,D,"Efecto tóxico de veneno de serpiente coral, accidental (no intencionado), contacto sucesivo"
T63021S,D,"Efecto tóxico de veneno de serpiente coral, accidental (no intencionado), secuela"
T63022,D,"Efecto tóxico de veneno de serpiente coral, autolesión intencionada"
T63022A,D,"Efecto tóxico de veneno de serpiente coral, autolesión intencionada, contacto inicial"
T63022D,D,"Efecto tóxico de veneno de serpiente coral, autolesión intencionada, contacto sucesivo"
T63022S,D,"Efecto tóxico de veneno de serpiente coral, autolesión intencionada, secuela"
T63023,D,"Efecto tóxico de veneno de serpiente coral, agresión"
T63023A,D,"Efecto tóxico de veneno de serpiente coral, agresión, contacto inicial"
T63023D,D,"Efecto tóxico de veneno de serpiente coral, agresión, contacto sucesivo"
T63023S,D,"Efecto tóxico de veneno de serpiente coral, agresión, secuela"
T63024,D,"Efecto tóxico de veneno de serpiente coral, intencionalidad sin determinar"
T63024A,D,"Efecto tóxico de veneno de serpiente coral, intencionalidad sin determinar, contacto inicial"
T63024D,D,"Efecto tóxico de veneno de serpiente coral, intencionalidad sin determinar, contacto sucesivo"
T63024S,D,"Efecto tóxico de veneno de serpiente coral, intencionalidad sin determinar, secuela"
T6303,D,Efecto tóxico de veneno de serpiente taipán
T63031,D,"Efecto tóxico de veneno de serpiente taipán, accidental (no intencionado)"
T63031A,D,"Efecto tóxico de veneno de serpiente taipán, accidental (no intencionado), contacto inicial"
T63031D,D,"Efecto tóxico de veneno de serpiente taipán, accidental (no intencionado), contacto sucesivo"
T63031S,D,"Efecto tóxico de veneno de serpiente taipán, accidental (no intencionado), secuela"
T63032,D,"Efecto tóxico de veneno de serpiente taipán, autolesión intencionada"
T63032A,D,"Efecto tóxico de veneno de serpiente taipán, autolesión intencionada, contacto inicial"
T63032D,D,"Efecto tóxico de veneno de serpiente taipán, autolesión intencionada, contacto sucesivo"
T63032S,D,"Efecto tóxico de veneno de serpiente taipán, autolesión intencionada, secuela"
T63033,D,"Efecto tóxico de veneno de serpiente taipán, agresión"
T63033A,D,"Efecto tóxico de veneno de serpiente taipán, agresión, contacto inicial"
T63033D,D,"Efecto tóxico de veneno de serpiente taipán, agresión, contacto sucesivo"
T63033S,D,"Efecto tóxico de veneno de serpiente taipán, agresión, secuela"
T63034,D,"Efecto tóxico de veneno de serpiente taipán, intencionalidad sin determinar"
T63034A,D,"Efecto tóxico de veneno de serpiente taipán, intencionalidad sin determinar, contacto inicial"
T63034D,D,"Efecto tóxico de veneno de serpiente taipán, intencionalidad sin determinar, contacto sucesivo"
T63034S,D,"Efecto tóxico de veneno de serpiente taipán, intencionalidad sin determinar, secuela"
T6304,D,Efecto tóxico de veneno de cobra
T63041,D,"Efecto tóxico de veneno de cobra, accidental (no intencionado)"
T63041A,D,"Efecto tóxico de veneno de cobra, accidental (no intencionado), contacto inicial"
T63041D,D,"Efecto tóxico de veneno de cobra, accidental (no intencionado), contacto sucesivo"
T63041S,D,"Efecto tóxico de veneno de cobra, accidental (no intencionado), secuela"
T63042,D,"Efecto tóxico de veneno de cobra, autolesión intencionada"
T63042A,D,"Efecto tóxico de veneno de cobra, autolesión intencionada, contacto inicial"
T63042D,D,"Efecto tóxico de veneno de cobra, autolesión intencionada, contacto sucesivo"
T63042S,D,"Efecto tóxico de veneno de cobra, autolesión intencionada, secuela"
T63043,D,"Efecto tóxico de veneno de cobra, agresión"
T63043A,D,"Efecto tóxico de veneno de cobra, agresión, contacto inicial"
T63043D,D,"Efecto tóxico de veneno de cobra, agresión, contacto sucesivo"
T63043S,D,"Efecto tóxico de veneno de cobra, agresión, secuela"
T63044,D,"Efecto tóxico de veneno de cobra, intencionalidad sin determinar"
T63044A,D,"Efecto tóxico de veneno de cobra, intencionalidad sin determinar, contacto inicial"
T63044D,D,"Efecto tóxico de veneno de cobra, intencionalidad sin determinar, contacto sucesivo"
T63044S,D,"Efecto tóxico de veneno de cobra, intencionalidad sin determinar, secuela"
T6306,D,Efecto tóxico de veneno de otras serpientes de Norteamérica y Sudamérica
T63061,D,"Efecto tóxico de veneno de otras serpientes de Norteamérica y Sudamérica, accidental (no intencionado)"
T63061A,D,"Efecto tóxico de veneno de otras serpientes de Norteamérica y Sudamérica, accidental (no intencionado), contacto inicial"
T63061D,D,"Efecto tóxico de veneno de otras serpientes de Norteamérica y Sudamérica, accidental (no intencionado), contacto sucesivo"
T63061S,D,"Efecto tóxico de veneno de otras serpientes de Norteamérica y Sudamérica, accidental (no intencionado), secuela"
T63062,D,"Efecto tóxico de veneno de otras serpientes de Norteamérica y Sudamérica, autolesión intencionada"
T63062A,D,"Efecto tóxico de veneno de otras serpientes de Norteamérica y Sudamérica, autolesión intencionada, contacto inicial"
T63062D,D,"Efecto tóxico de veneno de otras serpientes de Norteamérica y Sudamérica, autolesión intencionada, contacto sucesivo"
T63062S,D,"Efecto tóxico de veneno de otras serpientes de Norteamérica y Sudamérica, autolesión intencionada, secuela"
T63063,D,"Efecto tóxico de veneno de otras serpientes de Norteamérica y Sudamérica, agresión"
T63063A,D,"Efecto tóxico de veneno de otras serpientes de Norteamérica y Sudamérica, agresión, contacto inicial"
T63063D,D,"Efecto tóxico de veneno de otras serpientes de Norteamérica y Sudamérica, agresión, contacto sucesivo"
T63063S,D,"Efecto tóxico de veneno de otras serpientes de Norteamérica y Sudamérica, agresión, secuela"
T63064,D,"Efecto tóxico de veneno de otras serpientes de Norteamérica y Sudamérica, intencionalidad sin determinar"
T63064A,D,"Efecto tóxico de veneno de otras serpientes de Norteamérica y Sudamérica, intencionalidad sin determinar, contacto inicial"
T63064D,D,"Efecto tóxico de veneno de otras serpientes de Norteamérica y Sudamérica, intencionalidad sin determinar, contacto sucesivo"
T63064S,D,"Efecto tóxico de veneno de otras serpientes de Norteamérica y Sudamérica, intencionalidad sin determinar, secuela"
T6307,D,Efecto tóxico de veneno de otra serpiente australiana
T63071,D,"Efecto tóxico de veneno de otra serpiente australiana, accidental (no intencionado)"
T63071A,D,"Efecto tóxico de veneno de otra serpiente australiana, accidental (no intencionado), contacto inicial"
T63071D,D,"Efecto tóxico de veneno de otra serpiente australiana, accidental (no intencionado), contacto sucesivo"
T63071S,D,"Efecto tóxico de veneno de otra serpiente australiana, accidental (no intencionado), secuela"
T63072,D,"Efecto tóxico de veneno de otra serpiente australiana, autolesión intencionada"
T63072A,D,"Efecto tóxico de veneno de otra serpiente australiana, autolesión intencionada, contacto inicial"
T63072D,D,"Efecto tóxico de veneno de otra serpiente australiana, autolesión intencionada, contacto sucesivo"
T63072S,D,"Efecto tóxico de veneno de otra serpiente australiana, autolesión intencionada, secuela"
T63073,D,"Efecto tóxico de veneno de otra serpiente australiana, agresión"
T63073A,D,"Efecto tóxico de veneno de otra serpiente australiana, agresión, contacto inicial"
T63073D,D,"Efecto tóxico de veneno de otra serpiente australiana, agresión, contacto sucesivo"
T63073S,D,"Efecto tóxico de veneno de otra serpiente australiana, agresión, secuela"
T63074,D,"Efecto tóxico de veneno de otra serpiente australiana, intencionalidad sin determinar"
T63074A,D,"Efecto tóxico de veneno de otra serpiente australiana, intencionalidad sin determinar, contacto inicial"
T63074D,D,"Efecto tóxico de veneno de otra serpiente australiana, intencionalidad sin determinar, contacto sucesivo"
T63074S,D,"Efecto tóxico de veneno de otra serpiente australiana, intencionalidad sin determinar, secuela"
T6308,D,Efecto tóxico de veneno de otra serpiente de África y Asia
