Code,D_P,Description
A305,D,Lepra lepromatosa
A308,D,Otras formas de lepra
A309,D,"Lepra, no especificada"
A31,D,Infecciones debidas a otras micobacterias
A310,D,Infección por micobacterias pulmonares
A311,D,Infección cutánea por micobacterias
A312,D,Infección diseminada por Mycobacterium avium-intracellulare complex (IDMAC)
A318,D,Otras infecciones por micobacterias
A319,D,"Infección por micobacteria, no especificada"
A32,D,Listeriosis
A320,D,Listeriosis cutánea
A321,D,Meningitis y meningoencefalitis por Listeria
A3211,D,Meningitis por Listeria
A3212,D,Meningoencefalitis por Listeria
A327,D,Sepsis por Listeria
A328,D,Otras formas de listeriosis
A3281,D,Listeriosis oculoglandular
A3282,D,Endocarditis por Listeria
A3289,D,Otras formas de listeriosis
A329,D,"Listeriosis, no especificada"
A33,D,Tétanos neonatal
A34,D,Tétanos obstétrico
A35,D,Otros tétanos
A36,D,Difteria
A360,D,Difteria faríngea
A361,D,Difteria nasofaríngea
A362,D,Difteria laríngea
A363,D,Difteria cutánea
A368,D,Otras difterias
A3681,D,Cardiomiopatía diftérica
A3682,D,Radiculomielitis diftérica
A3683,D,Polineuritis diftérica
A3684,D,Nefropatía túbulo-intersticial diftérica
A3685,D,Cistitis diftérica
A3686,D,Conjuntivitis diftérica
A3689,D,Otras complicaciones de la difteria
A369,D,"Difteria, no especificada"
A37,D,Tos ferina
A370,D,Tos ferina debida a Bordetella pertussis
A3700,D,Tos ferina debida a Bordetella pertussis sin neumonía
A3701,D,Tos ferina debida a Bordetella pertussis con neumonía
A371,D,Tos ferina debida a Bordetella parapertussis
A3710,D,Tos ferina debida a Bordetella parapertussis sin neumonía
A3711,D,Tos ferina debida a Bordetella parapertussis con neumonía
A378,D,Tos ferina debida a otras especies de Bordetella
A3780,D,Tos ferina debida a otras especies de Bordetella sin neumonía
A3781,D,Tos ferina debida a otras especies de Bordetella con neumonía
A379,D,"Tos ferina, especie no especificada"
A3790,D,"Tos ferina, especie no especificada sin neumonía"
A3791,D,"Tos ferina, especie no especificada con neumonía"
A38,D,Escarlatina
A380,D,Escarlatina con otitis media
A381,D,Escarlatina con miocarditis
A388,D,Escarlatina con otras complicaciones
A389,D,Escarlatina no complicada
A39,D,Infección meningocócica
A390,D,Meningitis meningocócica
A391,D,Síndrome de Waterhouse-Friderichsen
A392,D,Meningococemia aguda
A393,D,Meningococemia crónica
A394,D,"Meningococemia, no especificada"
A395,D,Enfermedad cardiaca debida a meningococo
A3950,D,"Carditis meningocócica, no especificada"
A3951,D,Endocarditis meningocócica
A3952,D,Miocarditis meningocócica
A3953,D,Pericarditis meningocócica
A398,D,Otras infecciones meningocócicas
A3981,D,Encefalitis meningocócicas
A3982,D,Neuritis retrobulbar meningocócica
A3983,D,Artritis meningocócica
A3984,D,Artritis posmeningocócica
A3989,D,Otras infecciones meningocócicas
A399,D,"Infección meningocócica, no especificada"
A40,D,Sepsis estreptocócica
A400,D,"Sepsis debida a estreptococo, grupo A"
A401,D,"Sepsis debida a estreptococo, grupo B"
A403,D,Sepsis debida a Streptococcus pneumoniae
A408,D,Otras sepsis estreptocócicas
A409,D,"Sepsis estreptocócica, no especificada"
A41,D,Otras sepsis
A410,D,Sepsis debida a Staphylococcus aureus
A4101,D,Sepsis debida a Staphylococcus aureus sensible a meticilina
A4102,D,Sepsis debida a Staphylococcus aureus resistente a meticilina
A411,D,Sepsis debida a otro estafilococo especificado
A412,D,Sepsis debida a estafilococo no especificado
A413,D,Sepsis debida a Haemophilus influenzae
A414,D,Sepsis debida a anaerobios
A415,D,Sepsis debida a otros organismos gram negativos
A4150,D,"Sepsis por gram negativos, no especificados"
A4151,D,Sepsis por Escherichia coli [E. coli]
A4152,D,Sepsis por Pseudomonas
A4153,D,Sepsis por Serratia
A4159,D,Sepsis por otros gram negativos
A418,D,Otras sepsis especificadas
A4181,D,Sepsis por Enterococcus
A4189,D,Otras sepsis especificadas
A419,D,"Sepsis, microorganismo no especificado"
A42,D,Actinomicosis
A420,D,Actinomicosis pulmonar
A421,D,Actinomicosis abdominal
A422,D,Actinomicosis cervicofacial
A427,D,Sepsis actinomicótica
A428,D,Otras formas de actinomicosis
A4281,D,Meningitis actinomicótica
A4282,D,Encefalitis actinomicótica
A4289,D,Otras formas de actinomicosis
A429,D,"Actinomicosis, no especificada"
A43,D,Nocardiosis
A430,D,Nocardiosis pulmonar
A431,D,Nocardiosis cutánea
A438,D,Otras formas de nocardiosis
A439,D,"Nocardiosis, no especificada"
A44,D,Bartonelosis
A440,D,Bartonelosis sistémica
A441,D,Bartonelosis cutánea y mucocutánea
A448,D,Otras formas de bartonelosis
A449,D,"Bartonelosis, no especificada"
A46,D,Erisipela
A48,D,"Otras enfermedades bacterianas, no clasificadas bajo otro concepto"
A480,D,Gangrena gaseosa
A481,D,Enfermedad de los legionarios
A482,D,Enfermedad de los legionarios no neumónica [fiebre de Pontiac]
A483,D,Síndrome de shock tóxico
A484,D,Fiebre purpúrica brasileña
A485,D,Otros botulismos especificados
A4851,D,Botulismo infantil
A4852,D,Botulismo por herida
A488,D,Otras enfermedades bacterianas especificadas
A49,D,Infección bacteriana de localización no especificada
A490,D,"Infección estafilocócica, localización no especificada"
A4901,D,"Infección por Staphylococcus aureus sensible a meticilina, localización no especificada"
A4902,D,"Infección por Staphylococcus aureus resistente a meticilina, localización no especificada"
A491,D,"Infección estreptocócica, localización no especificada"
A492,D,"Infección por Haemophilus influenzae, localización no especificada"
A493,D,"Infección por micoplasma, localización no especificada"
A498,D,Otras infecciones bacterianas de localización no especificada
A499,D,"Infección bacteriana, no especificada"
A50,D,Sífilis congénita
A500,D,"Sífilis congénita precoz, sintomática"
A5001,D,Sífilis ocular congénita precoz
